Bleistift,pencil,Sie schreibt min einem Bleistift.,1536264967.236477,7
Der Erwachsene,a grownup,Das Kind nicht is Der Erwachsene.,1523890807.7784715,6
Die Übersetzung,translation,Hier ist eine gute Übersetzung.,1536265546.28076,8
Einsam,lonely,Sie war sehr einsame.,1534873050.2133121,6
Eiserne,iron,Eiserne Vorhang,1534714171.3550148,9
Feind,enemy,Gegen seine Feinde zeigte er keine Gnade.,1536265514.5306087,3
Manche,some,Manche Menschen glauben*^* daß ich gut bin.,1534870650.2967663,2
Vorhang,curtain,Eiserne Vorhang,1536166210.7175472,8
Weltall,the universe,Die Astronomen haben zwei vershiedene Vorstellungen von dem Ursprung des Weltalls.,1535988383.554715,8
Wie heißt...?,What is the name of...?,Wie heißt der größte deutsche Politiker?,1534873173.3490412,8
als,as,Wenn wir Deutschland als ein land verstehen wollen...,1536265494.1649475,1
am,an dem (contraction),Ich bin am 21 September geboren.,1534615831.1234236,7
an,+ dative or accusative. at,Ich sitze an dem/das Fenster.,1534956621.7214277,1
ans,an das (contraction),[no example],1536074523.0018759,7
anstatt*^* or statt,+ genitive. instead of,Anstatt des Bruders kommt die Schwester.,1535068504.234421,2
arm,poor,Der Künstler war arm.,1536075462.403869,7
auf,+ dative or accusative. on*^* upon (loosely*^* + many others),Wir sitzen auf dem Sofa. Wir setzen uns auf das Sofa.,1536265540.0136597,1
aufbauen,to build,... das notwendig ist*^* um eine Welt des Friedens aufzubauen.,1534714507.1225164,3
aufhören,to stop*^* desist,Um Himmels willen*^* hören Sie auf!,1536265146.5030618,2
aufs,auf das (contraction),[no example],1536265516.3773513,7
aus,+ dative. out of*^* of*^* from,Er geht aus dem Hause.,1535988295.977649,5
außer,+ dative. Except*^* besides,Außer ihm ist niemand da.,1523891269.553977,3
außerhalb,+ genitive. outside of,Er wohnte außerhalb der Stadt.,1534714914.8501456,7
außerm,außer dem (contraction),Außerm See brauchte er keine.,1534951723.888819,6
bedeuten,to mean,Was soll das bedeuten?,1534951564.0919409,0
bedingen,to stipulate,Die notwendigen Konzessionen bedingen eine Wiedervereinigung.,1536075317.7510712,2
bei,+ dative. with,Er wohnt bei seiner Tante.,1534620549.295122,7
beide,both, Beiden Staaten machen Konzessionen.,1535068964.138758,3
beim,bei dem (contraction),Das Restaurant liegt beim Bahnhof.,1534620364.1084983,6
belauschen,listen to; eavesdrop,Die belauschen sie mit Lust.,1535068678.381475,1
besitzen,to possess,Frankreich besitzt nur eine Hauptstadt.,1535988694.7027712,0
bis,+ accusative. until*^* to*^* as far as,Er fährt nur bis München.,1536166271.803198,2
bis zum,until the...,Bis zum Jahre 1918...,1534711038.2228992,7
bitten,to ask,Der Räuber bat mich höflichst um mein Geld.,1534714310.7388167,5
bloß,naked,Er war bloß!,1534956391.5541377,1
brauchen,to need,Ich brauchte etwas zu sagen.,1536165819.8656871,7
bunt,colorful,Immer schöner glänzen meine bunten Flügel.,1536265690.7126212,0
dadurch,by this means,Dadurch vernichten wir die Grenzen.,1536074490.804569,8
damals,at that time,Barth und Tillich spielten schon damals eine große Rolle in der...,1535988357.073934,3
darüber,about that,Ich hatte eine Theorie darüber.,1534711191.294285,7
das Bild,a picture,Das Bild hängt an der Wand.,1536166206.060804,3
das Dorf,the village,Ich singe vor dem Dorf.,1535068959.2178903,2
das Gebot,the commandment,Schweitzer verkörpert das Gebot: ...,1536265624.2497406,1
das Gefängnis,the prison,Die Mauer in Berlin ist ein Gefängnis für die Westberliner.,1524151899.6214566,4
das Grüne,the country,und reizende Farben schimmern hier im Grünen.,1536166164.46533,2
das Kind,the child,Das Kind ist jung.,1534710895.9544666,8
das Mißtrauen,distrust*^* suspicion,Grenzen sind ein Symbol des gegenseitigen Mißtrauens.,1535988430.8065705,8
das Postamt,the post office,Nie geht er um die Ecke zum Postamt.,1536165833.2117846,7
dauern,to last,Wie lange wird der Krieg dauern?,1536165740.3516476,2
der Bann,a spell,Ich stand wie festgebannt.,1536265692.9485579,1
der Bereich,sphere,"Der Bereich" ist ein Buch schreibte von Michael Crichton.,1535988562.8881545,8
der Brust,the breast; the chest,Nieder wallen auch die Träume durch der Menschen stille*^* stille Brust.,1536265752.1588926,3
der Druck,pressure,Vom Kuß zum Druck der Hand.,1536265479.7023926,1
der Flügel,a wing,Immer schöner glänzen meine bunten Flügel.,1534951735.3807695,2
der Formel,formula,der Formel ist sehr lang.,1536265519.7129552,7
der Frieden,peace,das notwendig ist*^* um eine Welt des Friedens aufzubauen.,1534714497.977821,5
der Gruß,the greeting,Und mir bringt sein leises Flüstern von dem Freunde tausend Grüsse.,1536265457.049154,2
der Haß,hate*^* hatred,der Haß nicht is gut.,1536166189.9493763,9
der Kuhstall,a cow barn,Hinter dem Kuhstall teilen die Jungen ihre Zigaretten.,1536075258.5405707,7
der Monat,the month,Sie ist schon seit zwei Monaten in Deutschland.,1534631710.62598,8
der Mond,the moon,Wie dein Mondlicht duurch die Räume,1534870041.0801556,0
der Schmetterling,the butterfly,Der Schmetterling immer tanzt.,1536265695.8967545,2
der Schnee,snow,Im Sommer bedeckt der Schnee noch die Alpen.,1534776281.7923963,9
der See,lake,Unterhalb des dorfes liegt ein See.,1536165697.4898255,7
der Staub,the dust,Kosend spielt er mit dem Staube.,1534954265.3845181,0
der Wand,wall,die Landkarte hängt noch an der Wand,1534714157.9707997,8
der Zustand,the situation,Je länger dieser Zustand dauert*^* desto schwieriger wird es sein*^* eine Versöhnung*^* eine Wiederverinigung zu schaffen.,1536075375.7838836,0
dick,fat,Ich wurde dick.,1534631045.4287705,6
die Achtung,respect,Wir genießen das Vertrauen und die Achtung.,1534870752.7007596,2
die Bewegung,a movement,Der Expressionismus ist eine literarische Bewegung.,1536166184.010309,7
die Beziehung,relation,Österreichs Beziehungen zu den ost- und südeuropäischen Ländern...,1534951710.1536312,1
die Blüte (die Blüthe),the blossom,Immer süßer hauchen alle kleinen Blüthen.,1535988372.7410946,1
die Dämmerung,dusk; twilight,Im Dämmerung er steigte das Burg.,1536165732.3345184,3
die Gegenüberstellung,the confrontation,Ist Deutschland ein Symbol für die Gegenüberstellung von Osten und Westen?,1536265534.6134646,2
die Gesellschaft,society,Deutschland hat nicht eine einheitlichen Gesellschaft.,1534952493.8743825,2
die Gnade,mercy,Zeigte er keine Gnade.,1536165625.2968168,7
die Kunde,(plural) tidings,Bringt der Ost mir frohe Kunde?,1536265142.7524564,1
die Lage,position,Ohne zu verstehen*^* was Deutschland damals war*^* können wir Deutschlands heutige Lage nicht verstehen.,1536075243.637948,3
die Laube,the arbor (a leaf-covered arched),jagtreibt zur sichern Rebenlaube der Insekten frohes Völkchen.,1536265743.5500455,0
die Luft,the air,Wenn die Lüfte golden*^* ...,1536074464.6245005,2
die Lust,pleasure*^* joy,Die belauschen sie mit Lust.,1536166285.320793,3
die Mauer,wall (city wall?),Trotz der Mauer versuchen Deutsche immer noch nach West-Berlin zu fliehen.,1534714937.481607,7
die Messe,the fair,Die Messe den Fluß entlang war.,1536165715.4454138,6
die Mühe,trouble,Es macht keine Mühe.,1534952577.034817,2
die Not,need*^* necessity,Rand hat den haß für die Not.,1536165750.853978,5
die Qual,torment,O Mutter*^* welche Qualen!,1535068412.5854478,2
die Rebe,the vine,Küßt die Reben noch im Fliehen.,1534955425.9380333,0
die Regung,the stirring,Seiner Schwingen frische Regung kühlt des Herzens tiefe Wunde.,1536265638.7083125,1
die Ruhe,peace,Innerhalb der Städte gibt es keine Ruhe mehr.,1535988646.5546272,1
die Stadt,city,--,1535988665.0964193,10
die Stimme,the voice,Meine stimme ist sehr schöne.,1536264996.2749677,8
die Uhr,watch,Schweizer Uhren kennt heute jeder.,1534870671.9262943,7
die Vergessenheit,oblivion (being forgotten),Sind Armut und Vergessenheit das Los vieler Künstler?,1536074541.5404756,7
die Versöhnung,reconciliation,Es wird schwierig sein*^* eine Versöhnung*^* eine Wiederverinigung zu schaffen.,1534956447.7616973,1
die Wange,the cheek,Kühlt auch mir die heißen Wangen.,1535068983.4523451,0
die Wiese,the meadow,Wenn die Lüfte golden*^* scheint die Wiese grüner.,1534617083.5343354,0
die Wolke,the cloud,Seht ihr Wolken glühen.,1534776161.5457935,2
die Währung,currency,Das dollar ist eine Währung.,1535988720.379608,8
diesseits,+ genitive. On this side of,diesseits des Flusses liegt eine Fabrik.,1535988715.9433975,7
doch,surely,Jeder kennt doch Schweizer Schokolade.,1536075269.9373627,3
draußen,outside,Er bleibt draußen.,1535068924.454607,3
durch,+ accusative. through,Sie läuft durch das Haus.,1534870768.9115336,2
durchs,durch das (contraction),Samuel läuft durchs Haus.,1536074349.3180215,5
dünn,thin,Sie wird nicht dick*^* sondern dünn.,1534714960.3050175,7
ehemalig,previous,Berlin*^* die ehemalige Hauptstadt*^* liegt auch in zwei Teile zerschnitten.,1536166151.275616,1
einfach,easy,Es ist nicht einfach zu erklären*^* was dieses Land tielt.,1536265622.460065,2
einheitlichen,uniform,Deutschland has nicht eine einheitlichen Gesellschaft.,1536265560.8289986,3
einmalig,unique,Dresden ist berühmt für seine einmalige Schönheit.,1534956531.337324,0
einstige,former,Ich war einstig schön.,1536165851.6621728,9
entlang,+ accusative. (follows object) along,Den Fluß entlang stehen hohe Bäume.,1535068401.712088,1
erklären,to explain,Es ist nicht einfach zu erklären*^* was dieses Land teilt.,1534776586.1827621,5
erleben,to experience,Die Schweiz erlebt keinen Krieg.,1536166108.7643576,2
fast,almost,Ich bin fast ein Mann.,1534956406.2896378,0
faule,lazy,Der faule Mensch liegt im BEtt.,1536264989.6282408,2
flüstern,to whisper,Und mir bringt sein leises Flüstern.,1536265653.2768006,0
froh,happy*^* cheerful,Bringt der Ost mir frohe Kunde?,1536265499.5549345,1
früh,early,spät oder früh,1536265134.8153949,3
für,+ accusative. for,Der Vater kaufte einen Ball für seinen Sohn.,1535988629.6176271,1
fürs,für das (contraction),Er kommte eine Geschenk fürs Mädchen.,1536265698.4294224,5
gegen,+ accusative. against,Es waren eigentlich viele*^* die gegen Hitler waren.,1534872322.9817722,1
gegen,+ accusative. toward (time or direction),Erika kommt gegen sechs Uhr nach Hause.,1534631931.8488922,6
gegenseitig,mutual*^* reciprocal,Grenzen sind ein Symbol des gegenseitigen Mißtrauens.,1534631793.6760166,5
gegenüber,+ dative. Opposite*^* across from,Der Lehrer sitzt mir gegenüber.,1536265666.6595142,1
gehören,to belong,Beethoven gehörte zu dem 19. Jahrhundert.,1535068440.11794,2
